datetime order_book_id side position_effect
2020-08-21 21:17:00 I88 SELL CLOSE_TODAY
2020-08-24 09:32:00 I88 BUY OPEN
2020-08-24 09:36:00 I88 SELL CLOSE_TODAY
2020-08-24 09:37:00 I88 BUY OPEN
2020-08-24 09:41:00 I88 SELL CLOSE_TODAY
2020-08-24 09:42:00 I88 BUY OPEN
2020-08-24 09:43:00 I88 SELL CLOSE_TODAY
2020-08-24 09:44:00 I88 BUY OPEN
2020-08-24 09:47:00 I88 SELL CLOSE_TODAY
2020-08-24 09:49:00 I88 BUY OPEN
2020-08-24 09:54:00 I88 SELL CLOSE_TODAY
2020-08-24 10:00:00 I88 BUY OPEN
2020-08-24 10:02:00 I88 SELL CLOSE_TODAY
2020-08-25 13:41:00 I88 BUY OPEN
2020-08-25 14:17:00 I88 SELL CLOSE_TODAY
2020-08-25 21:38:00 I88 BUY OPEN
2020-08-25 21:39:00 I88 SELL CLOSE_TODAY
2020-08-25 21:40:00 I88 BUY OPEN
2020-08-25 21:43:00 I88 SELL CLOSE_TODAY
2020-08-25 21:44:00 I88 BUY OPEN
2020-08-25 21:45:00 I88 SELL CLOSE_TODAY
2020-08-25 21:46:00 I88 BUY OPEN
2020-08-25 21:50:00 I88 SELL CLOSE_TODAY
2020-08-27 13:47:00 I88 BUY OPEN
2020-08-27 13:48:00 I88 SELL CLOSE_TODAY
2020-08-27 14:06:00 I88 BUY OPEN
2020-08-27 14:07:00 I88 SELL CLOSE_TODAY
2020-08-27 22:03:00 I88 BUY OPEN
2020-08-27 22:04:00 I88 SELL CLOSE_TODAY
2020-08-28 10:45:00 I88 SELL OPEN
2020-08-28 10:47:00 I88 BUY CLOSE_TODAY
2020-08-28 10:51:00 I88 SELL OPEN
2020-08-28 10:55:00 I88 BUY CLOSE_TODAY
2020-08-28 13:54:00 I88 SELL OPEN
2020-08-28 13:57:00 I88 BUY CLOSE_TODAY
2020-08-28 13:58:00 I88 SELL OPEN
2020-08-28 14:14:00 I88 BUY CLOSE_TODAY
2020-08-28 14:15:00 I88 SELL OPEN
2020-08-28 14:16:00 I88 BUY CLOSE_TODAY
2020-08-28 14:17:00 I88 SELL OPEN
2020-08-28 14:18:00 I88 BUY CLOSE_TODAY
2020-08-31 09:01:00 I88 SELL OPEN
2020-08-31 09:05:00 I88 BUY CLOSE_TODAY
2020-08-31 09:10:00 I88 SELL OPEN
2020-08-31 10:55:00 I88 BUY CLOSE_TODAY
2020-08-31 11:19:00 I88 SELL OPEN
2020-08-31 13:32:00 I88 BUY CLOSE_TODAY
2020-08-31 13:33:00 I88 SELL OPEN
2020-08-31 14:05:00 I88 BUY CLOSE_TODAY
2020-08-31 14:06:00 I88 SELL OPEN
2020-08-31 14:08:00 I88 BUY CLOSE_TODAY
2020-08-31 14:10:00 I88 SELL OPEN
2020-08-31 14:13:00 I88 BUY CLOSE_TODAY
